transcriptID_trim,log2FoldChange
TRINITY_DN8164_c0_g1::TRINITY_DN8164_c0_g1_i13,2.53855571391418
TRINITY_DN2266_c0_g1::TRINITY_DN2266_c0_g1_i4,-4.36920840521976
TRINITY_DN1306_c0_g1::TRINITY_DN1306_c0_g1_i15,3.06332005987667
TRINITY_DN30_c0_g2::TRINITY_DN30_c0_g2_i1,3.69229387058392
TRINITY_DN33_c0_g1::TRINITY_DN33_c0_g1_i18,3.72486196403257
TRINITY_DN1306_c0_g1::TRINITY_DN1306_c0_g1_i3,3.72557147210707
TRINITY_DN1306_c0_g1::TRINITY_DN1306_c0_g1_i1,4.11320800150005
TRINITY_DN9365_c0_g1::TRINITY_DN9365_c0_g1_i1,3.54949270075376
TRINITY_DN11685_c0_g1::TRINITY_DN11685_c0_g1_i2,2.9495260512784
TRINITY_DN1306_c0_g1::TRINITY_DN1306_c0_g1_i13,4.2014385593673
TRINITY_DN258_c0_g1::TRINITY_DN258_c0_g1_i18,3.67463098719706
TRINITY_DN1963_c0_g1::TRINITY_DN1963_c0_g1_i9,2.18556750593567
TRINITY_DN258_c0_g1::TRINITY_DN258_c0_g1_i13,3.18786583675598
TRINITY_DN3555_c0_g1::TRINITY_DN3555_c0_g1_i1,2.43463962929054
TRINITY_DN574_c0_g1::TRINITY_DN574_c0_g1_i15,2.91589224865086
TRINITY_DN30_c0_g2::TRINITY_DN30_c0_g2_i1,3.91625955770593
TRINITY_DN1890_c0_g1::TRINITY_DN1890_c0_g1_i13,-1.40526835572166
TRINITY_DN10209_c0_g2::TRINITY_DN10209_c0_g2_i3,2.76104962906386
TRINITY_DN14512_c0_g1::TRINITY_DN14512_c0_g1_i1,2.91826153176468
TRINITY_DN2266_c0_g1::TRINITY_DN2266_c0_g1_i3,-3.30441449500799
TRINITY_DN2161_c0_g1::TRINITY_DN2161_c0_g1_i9,1.72290561951478
TRINITY_DN2266_c0_g1::TRINITY_DN2266_c0_g1_i1,-3.30441449500799
TRINITY_DN9244_c0_g1::TRINITY_DN9244_c0_g1_i19,-1.3375562933315
TRINITY_DN2173_c0_g1::TRINITY_DN2173_c0_g1_i2,2.63325476800303
TRINITY_DN2132_c0_g1::TRINITY_DN2132_c0_g1_i10,2.79733257888815
TRINITY_DN2865_c3_g1::TRINITY_DN2865_c3_g1_i6,-1.91117827333119
TRINITY_DN268_c0_g1::TRINITY_DN268_c0_g1_i1,-1.44991938065276
TRINITY_DN159_c0_g2::TRINITY_DN159_c0_g2_i2,2.84526867664224
TRINITY_DN30646_c0_g1::TRINITY_DN30646_c0_g1_i1,3.24324155943431
TRINITY_DN3821_c0_g1::TRINITY_DN3821_c0_g1_i2,2.24294786623552
TRINITY_DN2350_c0_g1::TRINITY_DN2350_c0_g1_i2,-0.874615589908403
TRINITY_DN6586_c0_g1::TRINITY_DN6586_c0_g1_i2,-1.53966527870442
TRINITY_DN1008_c0_g1::TRINITY_DN1008_c0_g1_i20,1.25599230158792
TRINITY_DN301_c0_g2::TRINITY_DN301_c0_g2_i1,2.15285691939231
TRINITY_DN2763_c0_g1::TRINITY_DN2763_c0_g1_i8,1.53771390121154
TRINITY_DN2763_c0_g1::TRINITY_DN2763_c0_g1_i13,1.53771390121154
TRINITY_DN2688_c1_g1::TRINITY_DN2688_c1_g1_i4,1.97768153635055
TRINITY_DN7398_c0_g1::TRINITY_DN7398_c0_g1_i1,-1.62356854553128
TRINITY_DN5899_c0_g1::TRINITY_DN5899_c0_g1_i7,-1.52121077289471
TRINITY_DN451_c0_g1::TRINITY_DN451_c0_g1_i1,-1.04836848174197
TRINITY_DN301_c0_g2::TRINITY_DN301_c0_g2_i7,2.3463207786424
TRINITY_DN1306_c0_g1::TRINITY_DN1306_c0_g1_i1,4.30542120262323
TRINITY_DN5545_c0_g1::TRINITY_DN5545_c0_g1_i2,1.79209564991957
TRINITY_DN3644_c0_g1::TRINITY_DN3644_c0_g1_i15,1.59007768635292
TRINITY_DN2289_c0_g1::TRINITY_DN2289_c0_g1_i3,2.18492615394518
TRINITY_DN1463_c0_g1::TRINITY_DN1463_c0_g1_i1,2.69112717683356
TRINITY_DN9607_c1_g1::TRINITY_DN9607_c1_g1_i1,2.41829036552572
TRINITY_DN7057_c0_g2::TRINITY_DN7057_c0_g2_i2,2.40079848629885
TRINITY_DN159_c0_g5::TRINITY_DN159_c0_g5_i1,2.43880824983499
TRINITY_DN4770_c0_g1::TRINITY_DN4770_c0_g1_i1,2.79059623457194
TRINITY_DN4518_c0_g1::TRINITY_DN4518_c0_g1_i1,2.61069320619334
TRINITY_DN10411_c0_g1::TRINITY_DN10411_c0_g1_i2,1.95314466558777
TRINITY_DN6070_c1_g1::TRINITY_DN6070_c1_g1_i4,2.39358689148158
TRINITY_DN1354_c0_g1::TRINITY_DN1354_c0_g1_i5,1.09519193192219
TRINITY_DN16_c0_g1::TRINITY_DN16_c0_g1_i1,1.67343676405464
TRINITY_DN159_c0_g2::TRINITY_DN159_c0_g2_i2,2.29780307711421
TRINITY_DN1446_c0_g1::TRINITY_DN1446_c0_g1_i21,3.43109161975491
TRINITY_DN9483_c0_g1::TRINITY_DN9483_c0_g1_i8,2.29931741785939
TRINITY_DN6309_c0_g1::TRINITY_DN6309_c0_g1_i12,-1.07680884723337
TRINITY_DN4432_c0_g1::TRINITY_DN4432_c0_g1_i6,3.22481024967163
TRINITY_DN4770_c0_g1::TRINITY_DN4770_c0_g1_i1,2.10973634508778
TRINITY_DN3268_c0_g1::TRINITY_DN3268_c0_g1_i1,1.74995553163015
TRINITY_DN533_c0_g1::TRINITY_DN533_c0_g1_i4,-2.09195627732184
TRINITY_DN4518_c0_g1::TRINITY_DN4518_c0_g1_i1,2.57368751067969
TRINITY_DN14184_c0_g1::TRINITY_DN14184_c0_g1_i10,2.53896210249421
TRINITY_DN2280_c0_g1::TRINITY_DN2280_c0_g1_i1,-1.68506551064967
TRINITY_DN4062_c0_g1::TRINITY_DN4062_c0_g1_i5,1.61226130783538
TRINITY_DN2289_c0_g1::TRINITY_DN2289_c0_g1_i3,2.29052658930335
TRINITY_DN37580_c0_g1::TRINITY_DN37580_c0_g1_i18,-1.69874513966531
TRINITY_DN466_c0_g1::TRINITY_DN466_c0_g1_i12,2.25967070470897
TRINITY_DN7797_c0_g1::TRINITY_DN7797_c0_g1_i5,2.06015882098904
TRINITY_DN12726_c0_g1::TRINITY_DN12726_c0_g1_i3,1.26633617890794
TRINITY_DN258_c0_g1::TRINITY_DN258_c0_g1_i10,1.76825210024597
TRINITY_DN9353_c0_g1::TRINITY_DN9353_c0_g1_i10,1.82994095064313
TRINITY_DN5480_c0_g1::TRINITY_DN5480_c0_g1_i2,2.22170317088976
TRINITY_DN334_c0_g1::TRINITY_DN334_c0_g1_i8,1.979022456332
TRINITY_DN6930_c0_g1::TRINITY_DN6930_c0_g1_i1,1.40618719564274
TRINITY_DN2693_c0_g1::TRINITY_DN2693_c0_g1_i4,2.20310011485079
TRINITY_DN12866_c0_g1::TRINITY_DN12866_c0_g1_i1,2.53698849976368
TRINITY_DN574_c0_g1::TRINITY_DN574_c0_g1_i18,2.77406836469888
TRINITY_DN3139_c0_g1::TRINITY_DN3139_c0_g1_i15,1.30309740272513
TRINITY_DN33_c0_g1::TRINITY_DN33_c0_g1_i22,1.70389215658244
TRINITY_DN15795_c0_g1::TRINITY_DN15795_c0_g1_i4,-1.15194986731206
TRINITY_DN515_c0_g1::TRINITY_DN515_c0_g1_i27,0.950970070462619
TRINITY_DN515_c0_g1::TRINITY_DN515_c0_g1_i7,0.950970070462619
TRINITY_DN17386_c0_g1::TRINITY_DN17386_c0_g1_i10,1.73678029181749
TRINITY_DN6345_c0_g1::TRINITY_DN6345_c0_g1_i15,2.40264024606842
TRINITY_DN6345_c0_g1::TRINITY_DN6345_c0_g1_i17,2.40264024606842
TRINITY_DN9524_c0_g1::TRINITY_DN9524_c0_g1_i3,2.71510092551993
TRINITY_DN7653_c0_g1::TRINITY_DN7653_c0_g1_i2,2.43191344427475
TRINITY_DN9827_c0_g1::TRINITY_DN9827_c0_g1_i1,1.41108365625029
TRINITY_DN3_c0_g1::TRINITY_DN3_c0_g1_i7,2.92007752359607
TRINITY_DN16170_c0_g1::TRINITY_DN16170_c0_g1_i1,2.37319570300122
TRINITY_DN33_c0_g1::TRINITY_DN33_c0_g1_i10,1.55221557965773
TRINITY_DN16_c0_g1::TRINITY_DN16_c0_g1_i3,3.09807902805633
TRINITY_DN9169_c0_g1::TRINITY_DN9169_c0_g1_i20,0.960823851367835
TRINITY_DN4361_c0_g1::TRINITY_DN4361_c0_g1_i3,1.88485241099544
TRINITY_DN7345_c0_g1::TRINITY_DN7345_c0_g1_i1,2.38929983180525
TRINITY_DN1021_c0_g1::TRINITY_DN1021_c0_g1_i5,1.55513799640318
TRINITY_DN301_c0_g2::TRINITY_DN301_c0_g2_i7,2.56823208962123
TRINITY_DN3236_c0_g1::TRINITY_DN3236_c0_g1_i6,2.08851143461997
TRINITY_DN3555_c0_g1::TRINITY_DN3555_c0_g1_i5,2.90456126136214
TRINITY_DN301_c0_g2::TRINITY_DN301_c0_g2_i8,1.80728838711096
TRINITY_DN30_c0_g2::TRINITY_DN30_c0_g2_i2,1.7651853774811
TRINITY_DN585_c0_g1::TRINITY_DN585_c0_g1_i8,2.04241650199184
TRINITY_DN4857_c0_g1::TRINITY_DN4857_c0_g1_i1,1.65554369236643
TRINITY_DN694_c0_g1::TRINITY_DN694_c0_g1_i19,1.31300498106454
TRINITY_DN694_c0_g1::TRINITY_DN694_c0_g1_i10,1.3130806055126
TRINITY_DN15819_c0_g1::TRINITY_DN15819_c0_g1_i11,1.10955625704402
